Genome	Description	TotalLength
GCF_002220755.1	OMCCPHOF_01461 Flagellar M-ring protein	573
GCF_002220755.1	OMCCPHOF_00585 hypothetical protein	64
GCF_020091505.1	OMCEDGGO_03292 Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	258
GCF_020091505.1	OMCEDGGO_02523 hypothetical protein	338
GCF_020091505.1	OMCEDGGO_04135 FMN-dependent NADH-azoreductase	231
GCF_020091505.1	OMCEDGGO_00054 hypothetical protein	333
GCF_020091505.1	OMCEDGGO_05210 hypothetical protein	306
GCF_000429545.1	OMEBJLIK_00388 hypothetical protein	44
GCF_000429545.1	OMEBJLIK_00519 hypothetical protein	537
GCF_000429545.1	OMEBJLIK_00135 hypothetical protein	341
GCF_000429545.1	OMEBJLIK_02109 Creatinine amidohydrolase	257
GCF_000429545.1	OMEBJLIK_02562 Ferredoxin--NADP reductase	354
GCF_007991455.1	OMEJDIGP_00121 2-dehydro-3-deoxyphosphooctonate aldolase	359
GCF_007991455.1	OMEJDIGP_03469 hypothetical protein	359
GCF_007991455.1	OMEJDIGP_04118 hypothetical protein	211
GCF_007991455.1	OMEJDIGP_03514 hypothetical protein	135
GCF_007991455.1	OMEJDIGP_03852 hypothetical protein	160
GCF_000163455.1	OMFDNFIN_05014 Cell division protein DedD	229
GCF_000163455.1	OMFDNFIN_03185 hypothetical protein	258
GCF_000163455.1	OMFDNFIN_00588 Dihydrofolate reductase	159
GCF_000163455.1	OMFDNFIN_00479 Type II secretion system protein N	248
GCF_000163455.1	OMFDNFIN_03732 Orphan toxin OrtT	53
GCF_000429925.1	OMGBGAHL_03432 Inner membrane amino-acid ABC transporter permease protein YhdY	362
GCF_000429925.1	OMGBGAHL_01166 hypothetical protein	389
GCF_000429925.1	OMGBGAHL_01433 Acetoin catabolism regulatory protein	685
GCF_000429925.1	OMGBGAHL_03191 Acyl-CoA:acyl-CoA alkyltransferase	346
GCF_000429925.1	OMGBGAHL_02688 tRNA(Ile)-lysidine synthase	504
GCF_003591595.1	OMGMIFEG_01431 NADH:ubiquinone oxidoreductase, membrane subunit J	184
GCF_003591595.1	OMGMIFEG_01237 hydrogenase 4, large subunit	555
GCF_003591595.1	OMGMIFEG_02455 23S rRNA pseudouridine 2605 synthase	291
GCF_003591595.1	OMGMIFEG_03613 peptidyl-tRNA hydrolase, ribosome rescue factor	140
GCF_003591595.1	OMGMIFEG_00652 DNA primase	581
GCF_000013725.1	OMHBOMKB_01846 DNA mismatch repair protein MutL	603
GCF_000013725.1	OMHBOMKB_00564 hypothetical protein	504
GCF_000013725.1	OMHBOMKB_02476 30S ribosomal protein S24e	102
GCF_000013725.1	OMHBOMKB_02127 Energy-coupling factor transporter transmembrane protein EcfT	269
GCF_000013725.1	OMHBOMKB_01870 hypothetical protein	292
GCF_008795935.1	OMHOCJJB_02695 Cobyrinate a,c-diamide synthase	422
GCF_008795935.1	OMHOCJJB_00297 3-methylmercaptopropionyl-CoA dehydrogenase	599
GCF_008795935.1	OMHOCJJB_01758 Fe/S biogenesis protein NfuA	218
GCF_008795935.1	OMHOCJJB_01221 hypothetical protein	590
GCF_008795935.1	OMHOCJJB_00599 hypothetical protein	165
GCF_004117095.1	OMIAFNCN_02416 ATP-dependent zinc metalloprotease FtsH	506
GCF_004117095.1	OMIAFNCN_04576 Isoleucine--tRNA ligase	920
GCF_004117095.1	OMIAFNCN_02960 hypothetical protein	157
GCF_004117095.1	OMIAFNCN_01271 hypothetical protein	402
GCF_004117095.1	OMIAFNCN_02607 Carboxypeptidase 1	506
GCF_900112355.1	OMIBCCLJ_04563 hypothetical protein	637
GCF_900112355.1	OMIBCCLJ_04747 HTH-type transcriptional regulator ArgP	320
GCF_900112355.1	OMIBCCLJ_05387 putative glycerophosphodiester phosphodiesterase 1	266
GCF_900112355.1	OMIBCCLJ_04661 hypothetical protein	234
GCF_900112355.1	OMIBCCLJ_05315 hypothetical protein	109
GCF_900115675.1	OMIHMCOG_02392 ORC1-type DNA replication protein	412
GCF_900115675.1	OMIHMCOG_00699 Iron-sulfur cluster carrier protein	359
GCF_900115675.1	OMIHMCOG_01466 hypothetical protein	86
GCF_900115675.1	OMIHMCOG_01253 hypothetical protein	339
GCF_900115675.1	OMIHMCOG_01471 hypothetical protein	460
GCF_000183725.1	OMILGLGO_02251 Cytochrome c-553	97
GCF_000183725.1	OMILGLGO_02204 Phosphate acyltransferase	329
GCF_000183725.1	OMILGLGO_02626 hypothetical protein	92
GCF_000183725.1	OMILGLGO_00860 hypothetical protein	187
GCF_000183725.1	OMILGLGO_02721 Multidrug resistance protein MdtA	333
GCF_003130585.1	OMJCAMIN_02186 RNA polymerase-binding protein RbpA	101
GCF_003130585.1	OMJCAMIN_01433 hypothetical protein	566
GCF_003130585.1	OMJCAMIN_01205 hypothetical protein	770
GCF_003130585.1	OMJCAMIN_00560 hypothetical protein	1103
GCF_003130585.1	OMJCAMIN_00775 o-succinylbenzoate synthase	333
GCF_003987475.1	OMJFDFHA_00359 Dihydromonapterin reductase	235
GCF_003987475.1	OMJFDFHA_00998 Protein ApaG	125
GCF_003987475.1	OMJFDFHA_00752 Putative fluoride ion transporter CrcB	126
GCF_003987475.1	OMJFDFHA_01340 3'3'-cGAMP-specific phosphodiesterase 2	491
GCF_003987475.1	OMJFDFHA_01871 Protein RarD	310
GCF_000769915.1	OMKAPPAJ_03369 Amidophosphoribosyltransferase	632
GCF_000769915.1	OMKAPPAJ_00108 hypothetical protein	311
GCF_000769915.1	OMKAPPAJ_02776 ATP-dependent RNA helicase DeaD	599
GCF_000769915.1	OMKAPPAJ_02712 L-aspartate dehydrogenase	412
GCF_000769915.1	OMKAPPAJ_00612 Bifunctional ligase/repressor BirA	104
GCF_000688295.1	OMKIIADL_04101 2-succinylbenzoate--CoA ligase	613
GCF_000688295.1	OMKIIADL_03325 50S ribosomal protein L15	158
GCF_000688295.1	OMKIIADL_01641 hypothetical protein	192
GCF_000688295.1	OMKIIADL_02235 3-dehydroquinate dehydratase	145
GCF_000688295.1	OMKIIADL_00807 hypothetical protein	311
GCF_002939475.1	OMKKAKBK_04872 hypothetical protein	123
GCF_002939475.1	OMKKAKBK_02227 hypothetical protein	93
GCF_002939475.1	OMKKAKBK_04200 hypothetical protein	176
GCF_002939475.1	OMKKAKBK_04085 Oligopeptide transport ATP-binding protein OppD	352
GCF_002939475.1	OMKKAKBK_02255 hypothetical protein	216
GCF_900461415.1	OMKKOKOG_00514 hypothetical protein	105
GCF_900461415.1	OMKKOKOG_02647 Endoribonuclease EndoA	117
GCF_900461415.1	OMKKOKOG_00102 Glucosyltransferase 3	406
GCF_900461415.1	OMKKOKOG_01397 Uridine kinase	208
GCF_900461415.1	OMKKOKOG_01059 Bifunctional protein Aas	242
GCF_000741535.1	OMKNEBIO_01180 CCA-adding enzyme	458
GCF_000741535.1	OMKNEBIO_01555 10 kDa chaperonin	97
GCF_000741535.1	OMKNEBIO_00587 hypothetical protein	186
GCF_000741535.1	OMKNEBIO_01282 UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit	398
GCF_000741535.1	OMKNEBIO_00535 Protein-ADP-ribose hydrolase	267
GCF_009811835.1	OMLMEHKN_00394 hypothetical protein	66
GCF_009811835.1	OMLMEHKN_00948 hypothetical protein	77
GCF_009811835.1	OMLMEHKN_04024 RNA pyrophosphohydrolase	151
GCF_009811835.1	OMLMEHKN_03497 Protease 4	603
GCF_009811835.1	OMLMEHKN_02646 Histidinol-phosphate aminotransferase	348
GCF_004768785.1	OMMDKJPA_02269 PTS system glucose-specific EIIA component	188
GCF_004768785.1	OMMDKJPA_00306 Chemotaxis protein PomA	284
GCF_004768785.1	OMMDKJPA_00244 UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase	225
GCF_004768785.1	OMMDKJPA_00850 hypothetical protein	143
GCF_004768785.1	OMMDKJPA_01306 hypothetical protein	127
GCF_007558815.1	OMMFGAPJ_00946 hypothetical protein	82
GCF_007558815.1	OMMFGAPJ_01217 putative protein YqeY	154
GCF_007558815.1	OMMFGAPJ_01572 Salicylate 5-hydroxylase, small oxygenase component	157
GCF_007558815.1	OMMFGAPJ_04428 hypothetical protein	306
GCF_007558815.1	OMMFGAPJ_04492 4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2	253
GCF_015752125.1	OMMFNECL_00036 hypothetical protein	317
GCF_015752125.1	OMMFNECL_00632 Phosphoglycerate kinase	405
GCF_015752125.1	OMMFNECL_01972 hypothetical protein	165
GCF_015752125.1	OMMFNECL_00281 hypothetical protein	262
GCF_015752125.1	OMMFNECL_00132 hypothetical protein	485
GCF_001436735.1	OMNDBHMG_00065 hypothetical protein	30
GCF_001436735.1	OMNDBHMG_00785 ComE operon protein 3	696
GCF_001436735.1	OMNDBHMG_01535 putative HTH-type transcriptional regulator YbaQ	65
GCF_001436735.1	OMNDBHMG_01525 hypothetical protein	229
GCF_001436735.1	OMNDBHMG_01259 Bifunctional purine biosynthesis protein PurH	512
GCF_000717025.1	OMNIGNBJ_02566 hypothetical protein	419
GCF_000717025.1	OMNIGNBJ_05314 Glutathione transport system permease protein GsiC	317
GCF_000717025.1	OMNIGNBJ_05981 3-oxoadipate enol-lactonase 2	261
GCF_000717025.1	OMNIGNBJ_04883 Pyridoxal phosphate homeostasis protein	239
GCF_000717025.1	OMNIGNBJ_02169 ESX secretion system protein EccC	1322
GCF_004329815.1	OMNKJHOI_01356 2-oxoglutarate dehydrogenase E1 component	923
GCF_004329815.1	OMNKJHOI_02298 hypothetical protein	368
GCF_004329815.1	OMNKJHOI_01956 Glutathione synthetase	462
GCF_004329815.1	OMNKJHOI_00834 hypothetical protein	535
GCF_004329815.1	OMNKJHOI_01355 Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	412
GCA_018005955.1	OMNKJIMD_01108 hypothetical protein	216
GCA_018005955.1	OMNKJIMD_00675 Cell division protein ZapE	365
GCA_018005955.1	OMNKJIMD_00942 HTH-type transcriptional activator CmpR	299
GCA_018005955.1	OMNKJIMD_01360 Exodeoxyribonuclease	136
GCA_018005955.1	OMNKJIMD_00353 DNA-binding protein	61
GCF_008364325.2	OMNOBGEI_03107 Flagellar protein FlhE	134
GCF_008364325.2	OMNOBGEI_01213 Molybdate-binding protein ModA	257
GCF_008364325.2	OMNOBGEI_02923 Carboxy-S-adenosyl-L-methionine synthase	247
GCF_008364325.2	OMNOBGEI_04212 Inner membrane transport permease YadH	256
GCF_008364325.2	OMNOBGEI_02994 Glutathione transport system permease protein GsiD	316
GCF_001941385.1	OMOAMHHD_01357 hypothetical protein	320
GCF_001941385.1	OMOAMHHD_01308 Glutathione-regulated potassium-efflux system protein KefC	219
GCF_001941385.1	OMOAMHHD_00289 Ferredoxin--NADP reductase	596
GCF_001941385.1	OMOAMHHD_00909 hypothetical protein	221
GCF_001941385.1	OMOAMHHD_00655 Ferredoxin--NADP reductase	406
GCF_008693785.1	OMOJFKON_01051 Reverse gyrase	751
GCF_008693785.1	OMOJFKON_03398 hypothetical protein	138
GCF_008693785.1	OMOJFKON_01288 Voltage-gated ClC-type chloride channel ClcB	587
GCF_008693785.1	OMOJFKON_00644 NAD-dependent glycerol dehydrogenase	257
GCF_008693785.1	OMOJFKON_03563 Sensor histidine kinase RcsC	119
GCF_025758635.1	OMPEDMJO_02240 putative lipid kinase YegS	299
GCF_025758635.1	OMPEDMJO_03225 Ribose import ATP-binding protein RbsA	507
GCF_025758635.1	OMPEDMJO_02678 Serine transporter	431
GCF_025758635.1	OMPEDMJO_00046 Selenocysteine-specific elongation factor	630
GCF_025758635.1	OMPEDMJO_03108 hypothetical protein	404
GCF_001570425.1	OMPPOMAH_06799 hypothetical protein	64
GCF_001570425.1	OMPPOMAH_00360 Putative HTH-type transcriptional regulator	156
GCF_001570425.1	OMPPOMAH_04944 hypothetical protein	303
GCF_001570425.1	OMPPOMAH_02531 Alcohol dehydrogenase	348
GCF_001570425.1	OMPPOMAH_01578 Nucleoid occlusion factor SlmA	210
GCF_000688395.1	ONACMJOP_00951 hypothetical protein	85
GCF_000688395.1	ONACMJOP_00626 Putative prophage phiRv2 integrase	372
GCF_000688395.1	ONACMJOP_01763 Ribosomal RNA large subunit methyltransferase G	389
GCF_000688395.1	ONACMJOP_00274 hypothetical protein	220
GCF_000688395.1	ONACMJOP_02721 Maltose/maltodextrin transport system permease protein MalG	308
GCF_020735865.1	ONAFCOOK_03806 hypothetical protein	609
GCF_020735865.1	ONAFCOOK_02008 hypothetical protein	251
GCF_020735865.1	ONAFCOOK_00398 hypothetical protein	476
GCF_020735865.1	ONAFCOOK_03559 Acyl carrier protein	78
GCF_020735865.1	ONAFCOOK_01285 Iron-sulfur cluster carrier protein	253
GCF_000705495.1	ONBLPHFK_02059 Phosphate acetyltransferase	299
GCF_000705495.1	ONBLPHFK_00448 CCA-adding enzyme	405
GCF_000705495.1	ONBLPHFK_01285 hypothetical protein	105
GCF_000705495.1	ONBLPHFK_00404 1-acyl-sn-glycerol-3-phosphate acyltransferase	193
GCF_000705495.1	ONBLPHFK_02926 S-adenosylmethionine decarboxylase proenzyme	264
GCF_000250635.1	ONCGIPNC_00182 Ribosomal RNA small subunit methyltransferase F	450
GCF_000250635.1	ONCGIPNC_01026 hypothetical protein	237
GCF_000250635.1	ONCGIPNC_03165 hypothetical protein	323
GCF_000250635.1	ONCGIPNC_02328 hypothetical protein	126
GCF_000250635.1	ONCGIPNC_02937 hypothetical protein	171
GCF_900113485.1	ONEILPJJ_00970 hypothetical protein	92
GCF_900113485.1	ONEILPJJ_03621 hypothetical protein	278
GCF_900113485.1	ONEILPJJ_03079 hypothetical protein	203
GCF_900113485.1	ONEILPJJ_03167 hypothetical protein	97
GCF_900113485.1	ONEILPJJ_01641 Ferredoxin-dependent glutamate synthase 1	1571
GCF_000016525.1	ONENHJMG_00109 hypothetical protein	323
GCF_000016525.1	ONENHJMG_00135 Ferredoxin-type protein NapF	258
GCF_000016525.1	ONENHJMG_00304 Formylmethanofuran--tetrahydromethanopterin formyltransferase	296
GCF_000016525.1	ONENHJMG_00597 tRNA (guanine(26)-N(2))-dimethyltransferase	317
GCF_000016525.1	ONENHJMG_00575 hypothetical protein	212
GCF_003004255.1	ONFDKCHJ_01017 Pyridoxine 5'-phosphate synthase	248
GCF_003004255.1	ONFDKCHJ_01717 Chemotaxis protein PomA	257
GCF_003004255.1	ONFDKCHJ_03026 hypothetical protein	79
GCF_003004255.1	ONFDKCHJ_01511 Tol-Pal system protein TolB	419
GCF_003004255.1	ONFDKCHJ_02742 hypothetical protein	1201
GCF_013364095.1	ONFFCDAG_01233 Chromosome partition protein Smc	350
GCF_013364095.1	ONFFCDAG_00566 dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase	333
GCF_013364095.1	ONFFCDAG_01005 Histidinol-phosphatase	280
GCF_013364095.1	ONFFCDAG_02105 hypothetical protein	1110
GCF_013364095.1	ONFFCDAG_04474 hypothetical protein	528
GCF_000160055.1	ONFICEAE_01351 Manganese ABC transporter substrate-binding lipoprotein	355
GCF_000160055.1	ONFICEAE_00496 hypothetical protein	429
GCF_000160055.1	ONFICEAE_01207 Gamma-glutamyl phosphate reductase	425
GCF_000160055.1	ONFICEAE_00076 D-alanine--D-alanine ligase B	311
GCF_000160055.1	ONFICEAE_01142 hypothetical protein	83
GCF_002922865.1	ONFJIOPN_00855 tRNA (guanine-N(7)-)-methyltransferase	215
GCF_002922865.1	ONFJIOPN_01690 GTPase HflX	414
GCF_002922865.1	ONFJIOPN_01439 Argininosuccinate lyase	458
GCF_002922865.1	ONFJIOPN_00372 DNA repair protein RadA	456
GCF_002922865.1	ONFJIOPN_00987 putative ABC transporter permease	354
GCF_002846495.1	ONGAPOPI_02667 Multidrug export protein EmrB	498
GCF_002846495.1	ONGAPOPI_02137 Galactokinase	388
GCF_002846495.1	ONGAPOPI_02924 hypothetical protein	138
GCF_002846495.1	ONGAPOPI_01711 Protein-methionine-sulfoxide reductase catalytic subunit MsrP	392
GCF_002846495.1	ONGAPOPI_02933 3-oxoacyl-[acyl-carrier-protein] reductase FabG	254
GCF_021532655.1	ONGCPCNK_02622 hypothetical protein	235
GCF_021532655.1	ONGCPCNK_02790 4-hydroxy-3-methylbut-2-enyl diphosphate reductase	314
GCF_021532655.1	ONGCPCNK_02659 hypothetical protein	295
GCF_021532655.1	ONGCPCNK_01644 hypothetical protein	287
GCF_021532655.1	ONGCPCNK_00657 hypothetical protein	211
GCF_003012935.1	ONGHLDFO_03256 hypothetical protein	505
GCF_003012935.1	ONGHLDFO_02087 hypothetical protein	261
GCF_003012935.1	ONGHLDFO_01755 hypothetical protein	1028
GCF_003012935.1	ONGHLDFO_03892 Trehalose import ATP-binding protein SugC	371
GCF_003012935.1	ONGHLDFO_00437 Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	384
GCF_016908375.1	ONGKIMGE_00372 Vitamin B12 import ATP-binding protein BtuD	315
GCF_016908375.1	ONGKIMGE_00981 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	354
GCF_016908375.1	ONGKIMGE_01191 hypothetical protein	157
GCF_016908375.1	ONGKIMGE_02952 hypothetical protein	312
GCF_016908375.1	ONGKIMGE_01220 hypothetical protein	330
GCF_014396585.1	ONHKNENK_02707 Putative 1,2-phenylacetyl-CoA epoxidase, subunit D	146
GCF_014396585.1	ONHKNENK_01390 Acetylornithine aminotransferase	424
GCF_014396585.1	ONHKNENK_01603 Catalase-peroxidase	724
GCF_014396585.1	ONHKNENK_00990 hypothetical protein	152
GCF_014396585.1	ONHKNENK_01400 UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase	427
GCF_003987255.1	ONHPLKLE_01236 hypothetical protein	571
GCF_003987255.1	ONHPLKLE_00742 Shikimate kinase 1	177
GCF_003987255.1	ONHPLKLE_00333 hypothetical protein	68
GCF_003987255.1	ONHPLKLE_01856 ATPase RavA	318
GCF_003987255.1	ONHPLKLE_02252 hypothetical protein	737
GCF_000407605.1	ONIAKBBM_01344 ATP synthase F0 subunit C	71
GCF_000407605.1	ONIAKBBM_00066 flavodoxin	147
GCF_000407605.1	ONIAKBBM_00264 hypothetical protein	534
GCF_000407605.1	ONIAKBBM_00555 hypothetical protein	268
GCF_000407605.1	ONIAKBBM_02026 amino acid/peptide transporter	502
GCF_000759055.1	ONIFJGJK_00699 hypothetical protein	69
GCF_000759055.1	ONIFJGJK_01161 Acetophenone carboxylase delta subunit	661
GCF_000759055.1	ONIFJGJK_00454 hypothetical protein	302
GCF_000759055.1	ONIFJGJK_01761 hypothetical protein	112
GCF_000759055.1	ONIFJGJK_01693 3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	218
GCF_000246895.1	ONIKBBHL_02502 hypothetical protein	300
GCF_000246895.1	ONIKBBHL_03487 hypothetical protein	267
GCF_000246895.1	ONIKBBHL_03220 Pyrroline-5-carboxylate reductase	306
GCF_000246895.1	ONIKBBHL_02774 hypothetical protein	29
GCF_000246895.1	ONIKBBHL_01324 hypothetical protein	134
GCA_019425245.1	ONJEABIF_01685 Putative acetyltransferase EpsM	201
GCA_019425245.1	ONJEABIF_03098 hypothetical protein	365
GCA_019425245.1	ONJEABIF_03621 hypothetical protein	783
GCA_019425245.1	ONJEABIF_03226 hypothetical protein	51
GCA_019425245.1	ONJEABIF_05216 hypothetical protein	144
GCF_009646115.1	ONJKJHLF_04021 Arsenical pump membrane protein	427
GCF_009646115.1	ONJKJHLF_00285 Putative aminoacrylate hydrolase RutD	340
GCF_009646115.1	ONJKJHLF_04144 hypothetical protein	139
GCF_009646115.1	ONJKJHLF_01271 Inner membrane protein YbjJ	384
GCF_009646115.1	ONJKJHLF_02398 hypothetical protein	101
GCF_002302415.1	ONKALFLB_01843 hypothetical protein	954
GCF_002302415.1	ONKALFLB_01764 hypothetical protein	519
GCF_002302415.1	ONKALFLB_02402 hypothetical protein	162
GCF_002302415.1	ONKALFLB_02135 hypothetical protein	150
GCF_002302415.1	ONKALFLB_02047 Thymidylate kinase	369
GCF_000377745.1	ONKCIPEI_03261 Ribosomal RNA small subunit methyltransferase E	241
GCF_000377745.1	ONKCIPEI_03443 hypothetical protein	93
GCF_000377745.1	ONKCIPEI_02279 HTH-type transcriptional activator CmpR	290
GCF_000377745.1	ONKCIPEI_02699 Heme transporter BhuA	661
GCF_000377745.1	ONKCIPEI_00444 Arginine biosynthesis bifunctional protein ArgJ	406
GCF_000701665.1	ONKEHIMA_01465 hypothetical protein	141
GCF_000701665.1	ONKEHIMA_00347 tRNA-cytidine(32) 2-sulfurtransferase	266
GCF_000701665.1	ONKEHIMA_02335 hypothetical protein	390
GCF_000701665.1	ONKEHIMA_02256 tRNA (guanine-N(7)-)-methyltransferase	219
GCF_000701665.1	ONKEHIMA_00431 hypothetical protein	91
GCA_011055515.1	ONKNJBFF_00161 IS200/IS605 family transposase ISPa80	370
GCA_011055515.1	ONKNJBFF_00771 hypothetical protein	41
GCA_011055515.1	ONKNJBFF_00770 FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	106
GCA_011055515.1	ONKNJBFF_02273 Flagellar basal-body rod protein FlgF	251
GCA_011055515.1	ONKNJBFF_02166 IS1595 family transposase ISSsu9	179
GCF_014646315.1	ONLCHGFH_02931 HTH-type transcriptional regulator BetI	193
GCF_014646315.1	ONLCHGFH_04062 hypothetical protein	231
GCF_014646315.1	ONLCHGFH_02159 hypothetical protein	197
GCF_014646315.1	ONLCHGFH_05435 Arsenate reductase	184
GCF_014646315.1	ONLCHGFH_00820 Thiol-disulfide oxidoreductase ResA	188
GCF_000756505.1	ONLINLCO_02051 hypothetical protein	217
GCF_000756505.1	ONLINLCO_00072 IS30 family transposase ISAeca1	324
GCF_000756505.1	ONLINLCO_01303 hypothetical protein	457
GCF_000756505.1	ONLINLCO_00397 hypothetical protein	93
GCF_000756505.1	ONLINLCO_01677 Crossover junction endodeoxyribonuclease RuvC	184
GCF_001747425.1	ONLNBHGO_00407 Peptide deformylase	193
GCF_001747425.1	ONLNBHGO_01058 Phthiocerol synthesis polyketide synthase type I PpsC	340
GCF_001747425.1	ONLNBHGO_02004 Leucine-responsive regulatory protein	183
GCF_001747425.1	ONLNBHGO_04154 Nucleoid-associated protein YbaB	178
GCF_001747425.1	ONLNBHGO_04819 Propionyl-CoA carboxylase beta chain	542
GCF_004346195.1	ONMIJAFH_03528 Elongation factor G	691
GCF_004346195.1	ONMIJAFH_02720 Inner membrane protein YhaH	130
GCF_004346195.1	ONMIJAFH_01920 Arsenite oxidase subunit AioB	174
GCF_004346195.1	ONMIJAFH_02311 hypothetical protein	151
GCF_004346195.1	ONMIJAFH_00977 High-affinity branched-chain amino acid transport ATP-binding protein LivF	246
GCF_000814225.1	ONNBLNGK_03570 hypothetical protein	125
GCF_000814225.1	ONNBLNGK_03039 Ribonucleoside-diphosphate reductase 1 subunit alpha	761
GCF_000814225.1	ONNBLNGK_03054 2-succinylbenzoate--CoA ligase	453
GCF_000814225.1	ONNBLNGK_02102 hypothetical protein	103
GCF_000814225.1	ONNBLNGK_02708 Protein TraR	72
GCF_000423605.1	ONNBODPG_00175 Lipoprotein-releasing system ATP-binding protein LolD	224
GCF_000423605.1	ONNBODPG_03324 Thiosulfate sulfurtransferase GlpE	329
GCF_000423605.1	ONNBODPG_01264 putative N-octanoylanthranilate hydrolase AqdA1	288
GCF_000423605.1	ONNBODPG_01384 hypothetical protein	291
GCF_000423605.1	ONNBODPG_03380 hypothetical protein	97
GCF_002355215.1	ONNEGLNM_00523 Thymidylate kinase	84
GCF_002355215.1	ONNEGLNM_00756 CRISPR-associated endoribonuclease Cas2	107
GCF_002355215.1	ONNEGLNM_00454 Endolytic murein transglycosylase	105
GCF_002355215.1	ONNEGLNM_01691 Putative protein phosphatase 2C-type	253
GCF_002355215.1	ONNEGLNM_00837 ATP phosphoribosyltransferase	215
GCF_001715535.1	ONNLONHJ_00463 hypothetical protein	821
GCF_001715535.1	ONNLONHJ_02345 tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	233
GCF_001715535.1	ONNLONHJ_01803 50S ribosomal protein L36	37
